                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     60,                0.26583,                0.15348,                0.15734,                0.89103,                0.99997,                      1,                  0.995,                0.99487,                0.99997,                      1,                  0.995,                0.99495,                0.11702,                0.08692,                0.08993,                0.61575,              0.0008516,              0.0008516,              0.0008516
                     61,                0.26583,                0.15269,                0.15842,                0.89009,                0.99997,                      1,                  0.995,                0.99475,                0.99997,                      1,                  0.995,                 0.9949,                0.11257,                0.08651,                0.08667,                0.61582,              0.0008318,              0.0008318,              0.0008318
                     62,                0.26389,                0.15262,                0.15896,                0.89135,                0.99997,                      1,                  0.995,                0.99497,                0.99997,                      1,                  0.995,                0.99498,                0.11415,                0.08626,                 0.0801,                0.61418,               0.000812,               0.000812,               0.000812
                     63,                0.26415,                 0.1544,                0.15824,                0.89192,                0.99997,                      1,                  0.995,                0.99491,                0.99997,                      1,                  0.995,                0.99498,                0.11138,                0.08605,                0.07992,                0.61482,              0.0007922,              0.0007922,              0.0007922
                     64,                0.26531,                0.15207,                0.15908,                0.89323,                0.99997,                      1,                  0.995,                0.99496,                0.99997,                      1,                  0.995,                0.99497,                 0.1132,                0.08724,                0.08101,                0.61607,              0.0007724,              0.0007724,              0.0007724
                     65,                0.26282,                0.15137,                0.15479,                0.89009,                0.99997,                      1,                  0.995,                0.99497,                0.99997,                      1,                  0.995,                0.99499,                0.11154,                0.08555,                0.08486,                0.61276,              0.0007526,              0.0007526,              0.0007526
                     66,                0.26108,                0.15035,                0.15396,                0.88904,                      1,                      1,                  0.995,                0.99496,                      1,                      1,                  0.995,                0.99496,                0.10988,                0.08643,                0.07895,                 0.6133,              0.0007328,              0.0007328,              0.0007328
                     67,                0.26313,                0.15378,                0.15301,                0.89041,                0.99997,                      1,                  0.995,                0.99477,                0.99997,                      1,                  0.995,                0.99481,                0.10876,                0.08675,                0.08018,                0.61364,               0.000713,               0.000713,               0.000713
                     68,                0.25886,                0.15334,                0.14965,                0.88726,                0.99997,                      1,                  0.995,                0.99446,                0.99997,                      1,                  0.995,                0.99476,                0.11065,                0.08597,                0.07904,                0.61373,              0.0006932,              0.0006932,              0.0006932
                     69,                0.26278,                 0.1526,                0.15193,                 0.8875,                0.99997,                      1,                  0.995,                0.99464,                0.99997,                      1,                  0.995,                0.99476,                0.10648,                0.08805,                0.07587,                0.61233,              0.0006734,              0.0006734,              0.0006734
                     70,                0.25604,                0.14851,                0.14786,                0.88687,                0.99997,                      1,                  0.995,                0.99487,                0.99997,                      1,                  0.995,                0.99494,                0.10721,                0.08804,                0.07264,                0.61223,              0.0006536,              0.0006536,              0.0006536
                     71,                0.26013,                0.15064,                0.15039,                0.88992,                      1,                      1,                  0.995,                0.99492,                      1,                      1,                  0.995,                0.99497,                0.10715,                 0.0883,                0.07563,                0.61224,              0.0006338,              0.0006338,              0.0006338
                     72,                0.25661,                0.15123,                0.14745,                0.89042,                0.99997,                      1,                  0.995,                0.99497,                0.99997,                      1,                  0.995,                0.99499,                0.10839,                0.08468,                0.07573,                0.61247,               0.000614,               0.000614,               0.000614
                     73,                  0.255,                0.14715,                0.14602,                0.88796,                0.99997,                      1,                  0.995,                0.99483,                0.99997,                      1,                  0.995,                0.99497,                0.10893,                0.08672,                0.07274,                0.61283,              0.0005942,              0.0005942,              0.0005942
                     74,                0.25943,                0.14974,                0.14775,                0.88891,                0.99997,                      1,                  0.995,                0.99498,                0.99997,                      1,                  0.995,                0.99499,                0.10591,                0.08643,                0.06932,                0.61158,              0.0005744,              0.0005744,              0.0005744
                     75,                0.25586,                0.15037,                0.14485,                0.88834,                0.99997,                      1,                  0.995,                0.99498,                0.99997,                      1,                  0.995,                0.99499,                0.10779,                0.08727,                 0.0689,                0.61103,              0.0005546,              0.0005546,              0.0005546
                     76,                  0.255,                 0.1479,                0.14497,                0.88793,                0.99997,                      1,                  0.995,                0.99495,                0.99997,                      1,                  0.995,                0.99499,                0.10607,                0.08502,                0.06818,                0.61132,              0.0005348,              0.0005348,              0.0005348
                     77,                0.25523,                0.15055,                0.14464,                0.88955,                0.99997,                      1,                  0.995,                0.99481,                0.99997,                      1,                  0.995,                0.99499,                0.10723,                0.08631,                0.07051,                0.61146,               0.000515,               0.000515,               0.000515
                     78,                0.25192,                0.14593,                0.14171,                0.88753,                0.99997,                      1,                  0.995,                0.99491,                0.99997,                      1,                  0.995,                  0.995,                0.10758,                 0.0861,                0.07072,                0.61125,              0.0004952,              0.0004952,              0.0004952
                     79,                0.25627,                 0.1523,                0.14397,                0.88987,                      1,                      1,                  0.995,                0.99498,                      1,                      1,                  0.995,                  0.995,                0.10839,                0.08669,                0.07463,                0.61219,              0.0004754,              0.0004754,              0.0004754
                     80,                0.25485,                0.14901,                0.14308,                0.88762,                0.99997,                      1,                  0.995,                0.99499,                0.99997,                      1,                  0.995,                  0.995,                0.11046,                0.08703,                0.07134,                0.61245,              0.0004556,              0.0004556,              0.0004556
                     81,                0.25362,                0.14772,                0.14145,                0.88938,                0.99997,                      1,                  0.995,                0.99498,                0.99997,                      1,                  0.995,                0.99494,                0.10781,                0.08748,                0.07129,                0.61263,              0.0004358,              0.0004358,              0.0004358
                     82,                0.25407,                0.14868,                0.14174,                0.88879,                      1,                      1,                  0.995,                0.99499,                      1,                      1,                  0.995,                0.99499,                0.10575,                 0.0869,                0.06806,                0.61125,               0.000416,               0.000416,               0.000416
                     83,                0.25377,                0.14632,                 0.1407,                0.88533,                0.99997,                      1,                  0.995,                0.99498,                0.99997,                      1,                  0.995,                  0.995,                0.10617,                 0.0864,                0.06806,                0.61196,              0.0003962,              0.0003962,              0.0003962
                     84,                0.25137,                0.14607,                0.13806,                 0.8862,                      1,                      1,                  0.995,                0.99497,                      1,                      1,                  0.995,                  0.995,                0.10614,                 0.0867,                 0.0676,                0.61136,              0.0003764,              0.0003764,              0.0003764
                     85,                0.25289,                0.14767,                0.13851,                0.88767,                      1,                      1,                  0.995,                0.99499,                      1,                      1,                  0.995,                0.99496,                0.10676,                0.08608,                0.06785,                 0.6114,              0.0003566,              0.0003566,              0.0003566
                     86,                0.24923,                0.14823,                0.13779,                0.88624,                      1,                      1,                  0.995,                0.99493,                      1,                      1,                  0.995,                0.99499,                0.10493,                0.08398,                0.06655,                0.61098,              0.0003368,              0.0003368,              0.0003368
                     87,                0.24841,                0.14583,                0.13543,                0.88613,                      1,                      1,                  0.995,                0.99489,                      1,                      1,                  0.995,                  0.995,                0.10411,                0.08519,                0.06649,                0.61094,               0.000317,               0.000317,               0.000317
                     88,                0.24867,                0.14687,                0.13496,                0.88467,                0.99997,                      1,                  0.995,                0.99497,                0.99997,                      1,                  0.995,                  0.995,                0.10378,                0.08535,                0.06849,                0.61073,              0.0002972,              0.0002972,              0.0002972
                     89,                0.25048,                 0.1472,                0.13483,                 0.8855,                0.99997,                      1,                  0.995,                0.99499,                0.99997,                      1,                  0.995,                  0.995,                0.10288,                 0.0853,                0.06736,                0.61054,              0.0002774,              0.0002774,              0.0002774
                     90,                0.24511,                0.14258,                0.13129,                0.88602,                0.99997,                      1,                  0.995,                0.99486,                0.99997,                      1,                  0.995,                0.99494,                0.10349,                0.08496,                0.06675,                0.61041,              0.0002576,              0.0002576,              0.0002576
                     91,                0.09596,                0.08847,                0.07444,                 0.8412,                0.99997,                      1,                  0.995,                0.99498,                0.99997,                      1,                  0.995,                  0.995,                0.10352,                0.08557,                0.06722,                0.61056,              0.0002378,              0.0002378,              0.0002378
                     92,                0.09494,                0.08927,                0.07224,                 0.8377,                0.99997,                      1,                  0.995,                0.99499,                0.99997,                      1,                  0.995,                0.99499,                0.10285,                0.08484,                0.06521,                0.61067,               0.000218,               0.000218,               0.000218
                     93,                0.09285,                0.08797,                0.06799,                0.83426,                0.99997,                      1,                  0.995,                0.99483,                0.99997,                      1,                  0.995,                0.99499,                0.10527,                0.08469,                0.06927,                 0.6112,              0.0001982,              0.0001982,              0.0001982
                     94,                0.09164,                0.08696,                0.06734,                0.84109,                0.99997,                      1,                  0.995,                0.99499,                0.99997,                      1,                  0.995,                0.99499,                0.10568,                0.08556,                0.06781,                0.61139,              0.0001784,              0.0001784,              0.0001784
                     95,                0.09113,                0.08697,                0.06604,                0.83774,                0.99997,                      1,                  0.995,                0.99498,                0.99997,                      1,                  0.995,                0.99499,                0.10722,                0.08543,                0.06973,                0.61196,              0.0001586,              0.0001586,              0.0001586
                     96,                0.08954,                0.08733,                0.06372,                0.83557,                0.99997,                      1,                  0.995,                0.99499,                0.99997,                      1,                  0.995,                0.99499,                0.10591,                0.08583,                0.06713,                 0.6117,              0.0001388,              0.0001388,              0.0001388
                     97,                0.08882,                0.08618,                0.06264,                0.84247,                0.99997,                      1,                  0.995,                0.99499,                0.99997,                      1,                  0.995,                0.99499,                0.10492,                0.08489,                0.06507,                0.61093,               0.000119,               0.000119,               0.000119
                     98,                0.08976,                0.08727,                0.06398,                0.84016,                0.99997,                      1,                  0.995,                0.99498,                0.99997,                      1,                  0.995,                0.99499,                0.10581,                0.08508,                0.06383,                0.61098,               9.92e-05,               9.92e-05,               9.92e-05
                     99,                0.08935,                 0.0865,                0.06188,                0.83932,                0.99997,                      1,                  0.995,                0.99498,                0.99997,                      1,                  0.995,                0.99499,                0.10604,                0.08484,                0.06387,                0.61103,               7.94e-05,               7.94e-05,               7.94e-05
                    100,                 0.0877,                0.08699,                0.06145,                0.83881,                0.99997,                      1,                  0.995,                0.99499,                0.99997,                      1,                  0.995,                0.99499,                0.10528,                0.08532,                0.06282,                0.61086,               5.96e-05,               5.96e-05,               5.96e-05
